pickup_longitude pickup_latitude dropoff_longitude dropoff_latitude passenger_count
-73.98346 40.73021 -73.99004 40.7402 1
-73.98391 40.73808 -73.98434 40.74597 1
-73.96374 40.76769 -73.95209 40.76625 1
-73.97754 40.73892 -73.97221 40.74557 1
-73.86614 40.77134 -73.90552 40.77764 1
-73.98899 40.74791 -73.98216 40.75718 1
-73.99202 40.74892 -73.99455 40.74521 2
-74.00657 40.73174 -73.97823 40.75281 1
-73.97613 40.77585 -73.971 40.76361 1
-73.98513 40.72784 -73.98431 40.74836 1
-73.95373 40.7786 -73.95569 40.76389 1
-73.94853 40.78244 -73.96334 40.77749 1
-73.98797 40.76157 -74.00144 40.76241 2
-73.99081 40.75649 -74.00398 40.73884 1
-73.97287 40.78262 -73.95992 40.77377 1
-73.99228 40.75105 -73.99178 40.73868 2
-73.96248 40.76305 -73.9729 40.74346 1
-74.01328 40.71618 -74.00517 40.74989 1
-73.95689 40.78067 -73.95773 40.7744 1
-73.9533 40.77248 -73.95934 40.77184 1
-73.99784 40.74627 -74.00591 40.7501 1
-73.96905 40.7581 -73.9692 40.75736 1
-73.94356 40.79601 -73.93878 40.8051 1
-74.01696 40.70729 -74.01535 40.70477 1
-74.00101 40.72106 -73.98825 40.74572 1
-74.00386 40.738 -73.97902 40.72171 1
-73.9819 40.77378 -73.96726 40.80121 1
-73.97659 40.75698 -73.97224 40.76281 1
-73.99255 40.76364 -73.99152 40.77029 1
-73.99499 40.76008 -73.98172 40.77836 1
-73.98717 40.76868 -73.97154 40.75436 1
-73.9918 40.73492 -74.0014 40.75647 2
-73.98701 40.75765 -74.00123 40.75701 1
-73.95058 40.77512 -73.94913 40.78088 1
-73.99268 40.73712 -73.99171 40.73154 1
-73.96263 40.77413 -73.95319 40.78369 3
-73.9678 40.75594 -73.9858 40.75302 1
-73.98827 40.7379 -74.00167 40.72795 1
-73.96924 40.76634 -73.96071 40.77822 1
-73.97774 40.73801 -73.96935 40.7512 1
-73.98221 40.74014 -73.97791 40.74617 1
-73.95724 40.7701 -73.96647 40.76467 2
-73.97112 40.75536 -73.97015 40.7614 1
-73.96691 40.79382 -73.96599 40.80517 1
-73.9938 40.72644 -73.97588 40.74884 1
-74.00089 40.72905 -73.99429 40.72583 1
-73.95012 40.77742 -73.95448 40.78708 2
-73.98864 40.75419 -73.98223 40.76516 1
-73.99206 40.73103 -74.00156 40.72001 1
-74.01498 40.71578 -73.99897 40.74574 1
-73.98077 40.75366 -74.00672 40.72012 1
-73.98949 40.77295 -73.97848 40.78799 2
-73.99297 40.74817 -74.00595 40.71465 1
-74.0042 40.70771 -74.00005 40.73282 1
-74.01664 40.70938 -74.01091 40.70319 1
-73.97863 40.77734 -73.96793 40.76569 1
-74.00642 40.74455 -73.99173 40.74465 1
-73.99995 40.74324 -74.00203 40.72461 1
-73.96066 40.76963 -73.95367 40.7793 3
-73.99155 40.75006 -73.99443 40.74118 1
-74.00225 40.7399 -73.9928 40.75655 1
-73.99945 40.72502 -74.01025 40.72018 1
-73.99271 40.74262 -74.00566 40.75021 1
-73.96616 40.76482 -73.95116 40.78255 1
-73.97453 40.75359 -73.99229 40.74935 1
-73.94475 40.77996 -73.95522 40.78577 1
-73.99693 40.74666 -74.00549 40.75017 1
-74.01624 40.71113 -73.99885 40.74548 1
-73.95944 40.76199 -73.95944 40.76199 1
-73.97451 40.75611 -73.96915 40.76485 1
-73.98141 40.78105 -73.96446 40.80401 1
-73.95713 40.77742 -73.95408 40.77365 1
-73.99017 40.75615 -73.9763 40.75718 1
-73.98832 40.73712 -73.97624 40.74985 1
-73.99142 40.75045 -74.00469 40.72556 1
-73.94595 40.77313 -73.95607 40.7789 3
-73.99421 40.75108 -73.97401 40.76308 1
-73.99862 40.76064 -73.98498 40.77014 1
-74.00242 40.75031 -73.992 40.75142 1
-73.99792 40.73787 -74.00547 40.73921 1
-73.96541 40.77193 -73.94959 40.77448 1
-73.99666 40.73747 -73.9912 40.74139 1
-73.98972 40.74663 -73.96439 40.77137 1
-73.96331 40.75466 -73.87048 40.77385 1
-73.96674 40.76993 -73.95766 40.77436 1
-73.98985 40.77238 -74.00862 40.71672 3
-73.96628 40.75775 -73.98295 40.76075 1
-73.95139 40.77853 -73.95998 40.77336 1
-73.98122 40.76896 -73.94584 40.77885 2
-73.99037 40.73145 -73.99275 40.73693 1
-73.95728 40.78592 -73.97271 40.76498 1
-73.97586 40.74023 -73.97372 40.75764 1
-73.97129 40.7666 -73.99068 40.75603 1
-73.98627 40.76162 -73.98785 40.76292 1
-73.95301 40.77193 -73.97198 40.74994 1
-73.97836 40.75227 -73.99495 40.74138 1
-73.95924 40.76757 -73.97183 40.75707 1
-73.97305 40.76385 -73.99212 40.74925 1
-73.97206 40.79416 -73.97182 40.79807 1
-73.98077 40.73064 -73.97554 40.74931 1
-73.99823 40.76098 -74.00809 40.74202 1
-73.98344 40.75006 -73.99553 40.75306 2
-73.96319 40.77198 -73.98186 40.76828 1
-73.98701 40.7594 -73.99107 40.75053 1
-73.98524 40.73651 -73.98908 40.73958 1
-73.98713 40.73885 -73.9741 40.75917 1
-73.9622 40.76762 -73.97414 40.75691 1
